Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,7.346667,7.391667,7.223333,7.231667,6.411563,400000.0
2010-01-04,7.295,7.48,7.261667,7.435,6.591837,1104400.0
2010-01-05,7.431667,7.431667,7.308333,7.34,6.507612,1207200.0
2010-01-06,7.335,7.405,7.301667,7.343333,6.510566000000001,662800.0
2010-01-07,7.356667,7.425,7.311666000000001,7.365,6.529776,564000.0
2010-01-08,7.331666,7.485,7.311666000000001,7.473333,6.625823,504400.0
2010-01-11,7.491667,7.498333000000001,7.406667,7.438333999999999,6.594792999999999,564400.0
2010-01-12,7.393333,7.453333,7.286667,7.386667,6.548985,486400.0
2010-01-13,7.405,7.433333,7.281667,7.345,6.512043,675600.0
2010-01-14,7.341667,7.475,7.341667,7.38,6.543075,520000.0
2010-01-15,7.408333,7.408333,7.176667,7.323333,6.4928349999999995,694000.0
2010-01-19,7.35,7.493333,7.35,7.451667,6.6066139999999995,740800.0
2010-01-20,7.415,7.515,7.303333,7.493333,6.643555999999999,1063600.0
2010-01-21,7.49,7.52,7.146667,7.236667,6.415996,1091200.0
2010-01-22,7.228333,7.29,7.12,7.156667,6.345068,1195200.0
2010-01-25,7.196667,7.285,7.091667,7.141667,6.33177,1794000.0
2010-01-26,7.418334,7.418334,7.011667,7.065,6.263797,1850400.0
2010-01-27,7.198333,7.338333,7.016667,7.301667,6.503541,2554800.0
2010-01-28,7.338333,7.353333,7.138333,7.193333,6.407049,1046400.0
2010-01-29,7.211666999999999,7.2916669999999995,7.086666999999999,7.096667,6.320949,986800.0
2010-02-01,7.093333,7.1666669999999995,7.058333,7.0833330000000005,6.309075,1291600.0
2010-02-02,7.0833330000000005,7.1666669999999995,7.04,7.093333,6.317981,1066000.0
2010-02-03,7.05,7.1666669999999995,7.05,7.108333,6.331341,427200.0
2010-02-04,7.06,7.078333,6.881667,6.91,6.154686,798000.0
2010-02-05,6.913333000000001,7.066667,6.848333,6.948333,6.18883,1509600.0
2010-02-08,6.993333,7.093333,6.871666,6.99,6.225942,953200.0
2010-02-09,7.0833330000000005,7.225,7.048333,7.165,6.381814,1026400.0
2010-02-10,7.125,7.196667,7.078333,7.141667,6.361032,1363200.0
2010-02-11,7.115,7.326667,7.05,7.266667,6.472368,948000.0
2010-02-12,7.215,7.408333,7.181667,7.316667,6.516902,1018000.0
2010-02-16,7.358333,7.411667,7.301667,7.328333,6.527295,972000.0
2010-02-17,7.3333330000000005,7.358333,7.258333,7.28,6.484242,925600.0
2010-02-18,7.288333000000001,7.418334,7.288333000000001,7.415,6.604486,749200.0
2010-02-19,7.418334,7.548333,7.4,7.446667,6.632691,1224000.0
2010-02-22,7.476666000000001,7.5,7.403333,7.488333,6.669805,668400.0
2010-02-23,7.498333000000001,7.498333000000001,7.405,7.428333,6.616364,1189200.0
2010-02-24,7.465,7.538333000000001,7.453333,7.538333000000001,6.714339,1102800.0
2010-02-25,7.44,7.5416669999999995,7.381667,7.5416669999999995,6.717308,730000.0
2010-02-26,7.5416669999999995,7.588333,7.485,7.55,6.724730999999999,2046000.0
2010-03-01,7.591667,7.803333,7.59,7.65,6.8138,2423200.0
2010-03-02,7.798333,7.94,7.783333,7.856667,6.997877000000001,3206800.0
2010-03-03,7.895,7.965,7.858333,7.901667,7.037959,1667200.0
2010-03-04,7.863333,7.92,7.856667,7.901667,7.037959,1356400.0
2010-03-05,7.926667,7.965,7.895,7.963333,7.092882,1378000.0
2010-03-08,7.95,7.985,7.846667,7.901667,7.037959,636000.0
2010-03-09,7.866667,7.961666999999999,7.828333,7.926667,7.060225,727600.0
2010-03-10,7.908333,7.968333,7.88,7.943333,7.075069999999999,598000.0
2010-03-11,7.905,8.073334,7.886667,8.058333,7.1775,1338400.0
2010-03-12,8.065,8.093333,7.956666,8.093333,7.208674,478000.0
2010-03-15,8.101666,8.238334,8.071667,8.216666,7.318525999999999,1840000.0
2010-03-16,8.263333,8.405,8.225,8.26,7.357122,1503600.0
2010-03-17,8.296667,8.398334,8.261666,8.3,7.39275,993600.0
2010-03-18,8.275,8.316667,8.208333,8.275,7.370485,601600.0
2010-03-19,8.19,8.32,8.156667,8.19,7.294772,1117200.0
2010-03-22,8.148334,8.32,8.106667,8.313334,7.404628,1345600.0
2010-03-23,8.633333,8.893333,8.601666,8.753333,7.7965279999999995,4684000.0
2010-03-24,8.805,8.805,8.651667,8.71,7.757933,1651600.0
2010-03-25,8.746667,8.921667,8.568334,8.57,7.633236999999999,1921200.0
2010-03-26,8.62,8.7,8.521666999999999,8.566667,7.630269,1320000.0
2010-03-29,8.731667,8.9,8.636666,8.666667,7.719336,2083600.0
2010-03-30,8.678333,8.83,8.678333,8.785,7.824735,1376800.0
2010-03-31,8.788333,8.87,8.751667,8.761666,7.803953,1830400.0
2010-04-01,8.788333,8.838333,8.696667,8.753333,7.7965279999999995,1438000.0
2010-04-05,8.815,8.956667,8.773334,8.956667,7.977635,1413600.0
2010-04-06,8.888333,9.04,8.858334,8.988334,8.005844,1264800.0
2010-04-07,8.951667,9.025,8.891666,8.926666,7.950918,1710400.0
2010-04-08,8.873333,9.05,8.863334,9.031667,8.044438000000001,1125600.0
2010-04-09,9.033334,9.141666,9.006667,9.115,8.118666000000001,1201200.0
